2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,asksale
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,asksale
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,asksale
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,asksale
2020/06/01 12:00:25.503630,0.002425,73084.4,DOGE/USDT,asksale
2020/06/01 12:00:25.503630,0.00257726,117458,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00257911,36246,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00257912,1751,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00258849,19602.8,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0025885,457370,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0025912,110184,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00259158,1742.58,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0026,14002.6,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0026041,1734.2,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00260555,27747.7,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00261,10840.9,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00261668,1725.86,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00261712,6679.49,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00261864,6678.91,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00262032,6679.49,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00262932,604.315,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002638,385.146,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002639,8494.13,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00264,13114.3,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00264202,1709.31,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0026434,398.755,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0026436,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00265,23301.5,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002651,2135.39,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00265387,3518.91,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002664,1419.4,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00266666,386,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002678,280060,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00268,9509.64,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00268058,1000,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002685,999100,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00268506,1455.14,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00268511,559.751,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00268979,839898,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00269,20000,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00269413,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002696,36084,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0026966,2792.22,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002697,376.72,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00269888,277893,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.0027,5275.82,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00270143,449.135,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00272,10000,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00272649,445.007,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00273405,369.414,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00273418,5000,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00274465,1760.24,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00275,1013,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.002758,368.388,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00276,60787.5,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.00276,210952,DOGE/USDT,bidsale
2020/06/01 12:00:25.503630,0.02459,5.47978,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,0.0658774,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,5.4139,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,0.131755,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,5.34802,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,0.197632,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,5.28215,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,0.26351,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.02459,5.21627,ETH/BTC,asksale
2020/06/01 12:00:25.503630,0.024855,0.329387,ETH/BTC,bidsale
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,asksale
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,asksale
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,asksale
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,asksale
2020/06/01 12:00:25.503630,233.5,5.47978,ETH/USDT,asksale
